,cluster,repas,compagnie,malus,aliment_1,aliment_2,score
12,cluster_1,petit-dejeuner,seul,False,café,chicorée et poudre maltée,0.8454025782327826
13,cluster_1,petit-dejeuner,seul,False,café,thé et infusions,0.9352189383410925
14,cluster_1,petit-dejeuner,seul,False,chicorée et poudre maltée,"cacao, poudres et boissons cacaotées",0.8976885935270409
15,cluster_1,petit-dejeuner,seul,False,chicorée et poudre maltée,café,0.4795974217672174
16,cluster_1,petit-dejeuner,seul,False,chicorée et poudre maltée,thé et infusions,0.6917873148277294
17,cluster_1,petit-dejeuner,seul,False,confiture et miel,sucre et assimilés,0.733998636365076
18,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,biscuits sucrés,0.6471164065559099
19,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,"céréales sucrées, glacées ou au miel",0.8255300106281814
20,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,fruits,0.5265592660961012
21,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,gâteaux,0.8256139173239357
22,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,pâte chocolatée à tartiner,0.9987413995636851
23,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,viennoiserie,0.5765019298540024
24,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",biscuits sucrés,0.7792514723627326
25,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",céréales chocolatées,0.8411366560384852
26,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",fruits,0.6066084514020409
27,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",gâteaux,0.7500839066957543
28,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",pâte chocolatée à tartiner,0.8398780556021703
29,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",viennoiserie,0.6936240234192911
30,cluster_1,petit-dejeuner,seul,False,eau de source,eau du robinet,0.5121559825474074
31,cluster_1,petit-dejeuner,seul,False,eau de source,eau minérale plate,0.7447138781674778
32,cluster_1,petit-dejeuner,seul,False,eau de source,jus de fruits (purs et à base  de concentré),0.43855369414576845
33,cluster_1,petit-dejeuner,seul,False,eau du robinet,eau de source,0.6128440174525928
34,cluster_1,petit-dejeuner,seul,False,eau du robinet,eau minérale plate,0.7114846645730775
35,cluster_1,petit-dejeuner,seul,False,eau du robinet,jus de fruits (purs et à base  de concentré),0.6918183392053369
36,cluster_1,petit-dejeuner,seul,False,eau minérale plate,eau de source,0.7552861218325222
37,cluster_1,petit-dejeuner,seul,False,eau minérale plate,eau du robinet,0.6218486687602558
38,cluster_1,petit-dejeuner,seul,False,eau minérale plate,jus de fruits (purs et à base  de concentré),0.4852848919850607
39,cluster_1,petit-dejeuner,seul,False,fromage blanc et petits suisses,lait en bouteille ou en brique,0.3487741994538437
40,cluster_1,petit-dejeuner,seul,False,fromage blanc et petits suisses,yaourts et assimilés,0.5343418119051615
41,cluster_1,petit-dejeuner,seul,False,fruits,biscuits sucrés,0.7713002133053792
42,cluster_1,petit-dejeuner,seul,False,fruits,céréales chocolatées,0.6067740672372322
43,cluster_1,petit-dejeuner,seul,False,fruits,"céréales sucrées, glacées ou au miel",0.6433915485979591
44,cluster_1,petit-dejeuner,seul,False,fruits,gâteaux,0.6529115834998068
45,cluster_1,petit-dejeuner,seul,False,fruits,pâte chocolatée à tartiner,0.6055154668009174
46,cluster_1,petit-dejeuner,seul,False,fruits,viennoiserie,0.8226598335764519
47,cluster_1,petit-dejeuner,seul,False,gâteaux,biscuits sucrés,0.7736434201750271
48,cluster_1,petit-dejeuner,seul,False,gâteaux,céréales chocolatées,0.8410527493427309
49,cluster_1,petit-dejeuner,seul,False,gâteaux,"céréales sucrées, glacées ou au miel",0.7499160933042457
50,cluster_1,petit-dejeuner,seul,False,gâteaux,fruits,0.5970884165001933
51,cluster_1,petit-dejeuner,seul,False,gâteaux,pâte chocolatée à tartiner,0.839794148906416
52,cluster_1,petit-dejeuner,seul,False,gâteaux,viennoiserie,0.682476621051282
53,cluster_1,petit-dejeuner,seul,False,jus de fruits (purs et à base  de concentré),eau de source,0.6102267936591096
54,cluster_1,petit-dejeuner,seul,False,jus de fruits (purs et à base  de concentré),eau du robinet,0.7809089335219358
55,cluster_1,petit-dejeuner,seul,False,jus de fruits (purs et à base  de concentré),eau minérale plate,0.6542499917358696
56,cluster_1,petit-dejeuner,seul,False,lait en bouteille ou en brique,fromage blanc et petits suisses,0.6875894369097927
57,cluster_1,petit-dejeuner,seul,False,lait en bouteille ou en brique,yaourts et assimilés,0.7948094005269943
58,cluster_1,petit-dejeuner,seul,False,margarine,beurre,0.7102290326293561
59,cluster_1,petit-dejeuner,seul,False,pain,biscottes et panification sèche,0.889873340743254
60,cluster_1,petit-dejeuner,seul,False,pâte chocolatée à tartiner,biscuits sucrés,0.6483750069922246
61,cluster_1,petit-dejeuner,seul,False,pâte chocolatée à tartiner,céréales chocolatées,1.0012586004363149
62,cluster_1,petit-dejeuner,seul,False,pâte chocolatée à tartiner,"céréales sucrées, glacées ou au miel",0.8267886110644962
63,cluster_1,petit-dejeuner,seul,False,pâte chocolatée à tartiner,fruits,0.5278178665324159
64,cluster_1,petit-dejeuner,seul,False,pâte chocolatée à tartiner,gâteaux,0.8268725177602505
65,cluster_1,petit-dejeuner,seul,False,pâte chocolatée à tartiner,viennoiserie,0.5777605302903172
66,cluster_1,petit-dejeuner,seul,False,sucre et assimilés,confiture et miel,0.7266074242409847
67,cluster_1,petit-dejeuner,seul,False,thé et infusions,"cacao, poudres et boissons cacaotées",0.7643495848275985
68,cluster_1,petit-dejeuner,seul,False,thé et infusions,café,0.5591630841308175
69,cluster_1,petit-dejeuner,seul,False,thé et infusions,chicorée et poudre maltée,0.7653555423151277
70,cluster_1,petit-dejeuner,seul,False,viennoiserie,biscuits sucrés,0.9398184354542636
71,cluster_1,petit-dejeuner,seul,False,viennoiserie,céréales chocolatées,0.6734980701459976
72,cluster_1,petit-dejeuner,seul,False,viennoiserie,"céréales sucrées, glacées ou au miel",0.7508204210251533
73,cluster_1,petit-dejeuner,seul,False,viennoiserie,fruits,0.8440068330902146
74,cluster_1,petit-dejeuner,seul,False,viennoiserie,gâteaux,0.7619678233931624
75,cluster_1,petit-dejeuner,seul,False,viennoiserie,pâte chocolatée à tartiner,0.6722394697096828
76,cluster_1,petit-dejeuner,seul,False,yaourts et assimilés,fromage blanc et petits suisses,0.6085153309519814
77,cluster_1,petit-dejeuner,seul,False,yaourts et assimilés,lait en bouteille ou en brique,0.593250300965543
0,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,biscuits sucrés,0.7549714433072837
1,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,céréales chocolatées,0.8428410160679336
2,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,"céréales sucrées, glacées ou au miel",0.8590704003773784
3,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,fruits,0.8330317651789304
4,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,gâteaux,0.8247386409328508
5,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,pâte chocolatée à tartiner,0.7176470021019317
6,cluster_2,petit-dejeuner,seul,False,autres céréales pour petit déjeuner,viennoiserie,0.6557978682129529
7,cluster_2,petit-dejeuner,seul,False,beurre,margarine,0.6376960193003619
8,cluster_2,petit-dejeuner,seul,False,biscottes et panification sèche,pain,0.49806300454671987
9,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,autres céréales pour petit déjeuner,0.8164571281212877
10,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,céréales chocolatées,0.8598258861567796
11,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,"céréales sucrées, glacées ou au miel",0.870970361986208
12,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,fruits,0.7021009248090068
13,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,gâteaux,0.6938078005629272
14,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,pâte chocolatée à tartiner,0.862271120462244
15,cluster_2,petit-dejeuner,seul,False,biscuits sucrés,viennoiserie,0.8855370877225612
16,cluster_2,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",café,0.6860919801448022
17,cluster_2,petit-dejeuner,seul,False,café,"cacao, poudres et boissons cacaotées",0.5139080198551977
18,cluster_2,petit-dejeuner,seul,False,confiture et miel,sucre et assimilés,0.8851728270808641
19,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,autres céréales pour petit déjeuner,0.9571589839320664
20,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,biscuits sucrés,0.8901741138432203
21,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,"céréales sucrées, glacées ou au miel",1.0111444758294286
22,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,fruits,0.7932750301568154
23,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,gâteaux,0.7849819059107358
24,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,pâte chocolatée à tartiner,0.8427231589804303
25,cluster_2,petit-dejeuner,seul,False,céréales chocolatées,viennoiserie,0.771568375763996
26,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",autres céréales pour petit déjeuner,0.9409295996226217
27,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",biscuits sucrés,0.879029638013792
28,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",céréales chocolatées,0.9888555241705717
29,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",fruits,0.7854342581423401
30,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",gâteaux,0.7771411338962606
31,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",pâte chocolatée à tartiner,0.8315786831510018
32,cluster_2,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",viennoiserie,0.7604238999345676
33,cluster_2,petit-dejeuner,seul,False,eau du robinet,jus de fruits (purs et à base  de concentré),0.44030960997185364
34,cluster_2,petit-dejeuner,seul,False,fruits,autres céréales pour petit déjeuner,0.8336349014877362
35,cluster_2,petit-dejeuner,seul,False,fruits,biscuits sucrés,0.6312324085243265
36,cluster_2,petit-dejeuner,seul,False,fruits,céréales chocolatées,0.7067249698431846
37,cluster_2,petit-dejeuner,seul,False,fruits,"céréales sucrées, glacées ou au miel",0.7145657418576599
38,cluster_2,petit-dejeuner,seul,False,fruits,gâteaux,0.9917068757539204
39,cluster_2,petit-dejeuner,seul,False,fruits,pâte chocolatée à tartiner,0.601089953472342
40,cluster_2,petit-dejeuner,seul,False,fruits,viennoiserie,0.5450844390832328
41,cluster_2,petit-dejeuner,seul,False,gâteaux,autres céréales pour petit déjeuner,0.8419280257338158
42,cluster_2,petit-dejeuner,seul,False,gâteaux,biscuits sucrés,0.6395255327704061
43,cluster_2,petit-dejeuner,seul,False,gâteaux,céréales chocolatées,0.7150180940892642
44,cluster_2,petit-dejeuner,seul,False,gâteaux,"céréales sucrées, glacées ou au miel",0.7228588661037394
45,cluster_2,petit-dejeuner,seul,False,gâteaux,fruits,1.0082931242460798
46,cluster_2,petit-dejeuner,seul,False,gâteaux,pâte chocolatée à tartiner,0.6093830777184215
47,cluster_2,petit-dejeuner,seul,False,gâteaux,viennoiserie,0.5533775633293124
48,cluster_2,petit-dejeuner,seul,False,jus de fruits (purs et à base  de concentré),eau du robinet,0.6930237233614797
49,cluster_2,petit-dejeuner,seul,False,lait en bouteille ou en brique,yaourts et assimilés,0.7790029894582262
50,cluster_2,petit-dejeuner,seul,False,margarine,beurre,0.5623039806996382
51,cluster_2,petit-dejeuner,seul,False,pain,biscottes et panification sèche,0.6557831492994339
52,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,autres céréales pour petit déjeuner,0.7823529978980682
53,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,biscuits sucrés,0.8650016068104832
54,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,céréales chocolatées,0.8239435076862365
55,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,"céréales sucrées, glacées ou au miel",0.8350879835156648
56,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,fruits,0.6846243322419439
57,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,gâteaux,0.6763312079958641
58,cluster_2,petit-dejeuner,seul,False,pâte chocolatée à tartiner,viennoiserie,0.7320843630381249
59,cluster_2,petit-dejeuner,seul,False,sucre et assimilés,confiture et miel,0.914827172919136
60,cluster_2,petit-dejeuner,seul,False,viennoiserie,autres céréales pour petit déjeuner,0.7886465762314915
61,cluster_2,petit-dejeuner,seul,False,viennoiserie,biscuits sucrés,0.9477962456107722
62,cluster_2,petit-dejeuner,seul,False,viennoiserie,céréales chocolatées,0.8284316242360039
63,cluster_2,petit-dejeuner,seul,False,viennoiserie,"céréales sucrées, glacées ou au miel",0.8395761000654323
64,cluster_2,petit-dejeuner,seul,False,viennoiserie,fruits,0.7049155609167672
65,cluster_2,petit-dejeuner,seul,False,viennoiserie,gâteaux,0.6966224366706876
66,cluster_2,petit-dejeuner,seul,False,viennoiserie,pâte chocolatée à tartiner,0.8012489702952086
67,cluster_2,petit-dejeuner,seul,False,yaourts et assimilés,lait en bouteille ou en brique,0.30795353228090416
0,cluster_0,dejeuner,seul,False,beurre,huile,0.7857407194753503
1,cluster_0,dejeuner,seul,False,beurre,margarine,0.7381251254989691
2,cluster_0,dejeuner,seul,False,buf en pièces ou haché,jambons et charcuteries en pièces,0.9953108938119133
3,cluster_0,dejeuner,seul,False,buf en pièces ou haché,oeufs et dérivés,0.855387889340298
4,cluster_0,dejeuner,seul,False,buf en pièces ou haché,poissons de mer,0.8461017604952601
5,cluster_0,dejeuner,seul,False,buf en pièces ou haché,"saucisses, saucissons, andouilles et boudins",0.8568388469723351
6,cluster_0,dejeuner,seul,False,buf en pièces ou haché,volailles et lapins,0.8385567808086671
7,cluster_0,dejeuner,seul,False,condiments d'assaisonnement,sauces,0.5449474430902173
8,cluster_0,dejeuner,seul,False,eau de source,eau du robinet,0.5890153029866125
9,cluster_0,dejeuner,seul,False,eau de source,eau minérale plate,1.0042796829978582
10,cluster_0,dejeuner,seul,False,eau de source,vin,1.0098507366315626
11,cluster_0,dejeuner,seul,False,eau du robinet,eau de source,0.7443180303467207
12,cluster_0,dejeuner,seul,False,eau du robinet,eau minérale plate,0.748597713344579
13,cluster_0,dejeuner,seul,False,eau du robinet,vin,0.7541687669782832
14,cluster_0,dejeuner,seul,False,eau minérale plate,eau de source,0.9957203170021418
15,cluster_0,dejeuner,seul,False,eau minérale plate,eau du robinet,0.5847356199887543
16,cluster_0,dejeuner,seul,False,eau minérale plate,vin,1.0055710536337041
17,cluster_0,dejeuner,seul,False,fromages affinés,yaourts et assimilés,0.763793345947799
18,cluster_0,dejeuner,seul,False,haricots verts et petits pois (légumes potagers),légumes feuilles,0.638518088605146
19,cluster_0,dejeuner,seul,False,haricots verts et petits pois (légumes potagers),légumes fruits,0.6332946411298124
20,cluster_0,dejeuner,seul,False,haricots verts et petits pois (légumes potagers),"légumes racines, tubercules ou bulbes",0.81679241632811
21,cluster_0,dejeuner,seul,False,huile,beurre,0.7949044418149722
22,cluster_0,dejeuner,seul,False,huile,margarine,0.7276784567827408
23,cluster_0,dejeuner,seul,False,jambons et charcuteries en pièces,buf en pièces ou haché,1.0046891061880867
24,cluster_0,dejeuner,seul,False,jambons et charcuteries en pièces,oeufs et dérivés,0.8565486554459276
25,cluster_0,dejeuner,seul,False,jambons et charcuteries en pièces,poissons de mer,0.84726252660089
26,cluster_0,dejeuner,seul,False,jambons et charcuteries en pièces,"saucisses, saucissons, andouilles et boudins",0.8579996130779648
27,cluster_0,dejeuner,seul,False,jambons et charcuteries en pièces,volailles et lapins,0.8397175469142968
28,cluster_0,dejeuner,seul,False,légumes feuilles,haricots verts et petits pois (légumes potagers),0.6948152447281872
29,cluster_0,dejeuner,seul,False,légumes feuilles,légumes fruits,0.9937363373103624
30,cluster_0,dejeuner,seul,False,légumes feuilles,"légumes racines, tubercules ou bulbes",0.800051618138768
31,cluster_0,dejeuner,seul,False,légumes fruits,haricots verts et petits pois (légumes potagers),0.700038692203521
32,cluster_0,dejeuner,seul,False,légumes fruits,légumes feuilles,1.0062636626896375
33,cluster_0,dejeuner,seul,False,légumes fruits,"légumes racines, tubercules ou bulbes",0.8055078425085461
34,cluster_0,dejeuner,seul,False,"légumes racines, tubercules ou bulbes",haricots verts et petits pois (légumes potagers),0.8498742503385568
35,cluster_0,dejeuner,seul,False,"légumes racines, tubercules ou bulbes",légumes feuilles,0.7713769532898034
36,cluster_0,dejeuner,seul,False,"légumes racines, tubercules ou bulbes",légumes fruits,0.7659207289200253
37,cluster_0,dejeuner,seul,False,margarine,beurre,0.5285415411676975
38,cluster_0,dejeuner,seul,False,margarine,huile,0.5223215432172592
39,cluster_0,dejeuner,seul,False,oeufs et dérivés,buf en pièces ou haché,0.8112787773263688
40,cluster_0,dejeuner,seul,False,oeufs et dérivés,jambons et charcuteries en pièces,0.810118011220739
41,cluster_0,dejeuner,seul,False,oeufs et dérivés,poissons de mer,0.9907138711549623
42,cluster_0,dejeuner,seul,False,oeufs et dérivés,"saucisses, saucissons, andouilles et boudins",1.0014509576320372
43,cluster_0,dejeuner,seul,False,oeufs et dérivés,volailles et lapins,0.9831688914683692
44,cluster_0,dejeuner,seul,False,pain,pommes de terre et apparentés,0.7417307061724032
45,cluster_0,dejeuner,seul,False,pain,pâtes alimentaires,0.707533746466216
46,cluster_0,dejeuner,seul,False,pain,riz,0.7272667702619212
47,cluster_0,dejeuner,seul,False,poissons de mer,buf en pièces ou haché,0.8205649061714064
48,cluster_0,dejeuner,seul,False,poissons de mer,jambons et charcuteries en pièces,0.8194041400657768
49,cluster_0,dejeuner,seul,False,poissons de mer,oeufs et dérivés,1.0092861288450377
50,cluster_0,dejeuner,seul,False,poissons de mer,"saucisses, saucissons, andouilles et boudins",1.0107370864770748
51,cluster_0,dejeuner,seul,False,poissons de mer,volailles et lapins,0.9924550203134068
52,cluster_0,dejeuner,seul,False,pommes de terre et apparentés,pain,0.42493596049426346
53,cluster_0,dejeuner,seul,False,pommes de terre et apparentés,pâtes alimentaires,0.7258270458502611
54,cluster_0,dejeuner,seul,False,pommes de terre et apparentés,riz,0.7455600696459663
55,cluster_0,dejeuner,seul,False,pâtes alimentaires,pain,0.356982382566042
56,cluster_0,dejeuner,seul,False,pâtes alimentaires,pommes de terre et apparentés,0.6741729541497388
57,cluster_0,dejeuner,seul,False,pâtes alimentaires,riz,1.0197330237957052
58,cluster_0,dejeuner,seul,False,riz,pain,0.3372493587703368
59,cluster_0,dejeuner,seul,False,riz,pommes de terre et apparentés,0.6544399303540337
60,cluster_0,dejeuner,seul,False,riz,pâtes alimentaires,0.9802669762042948
61,cluster_0,dejeuner,seul,False,sauces,condiments d'assaisonnement,0.6772747791320048
62,cluster_0,dejeuner,seul,False,"saucisses, saucissons, andouilles et boudins",buf en pièces ou haché,0.8098278196943316
63,cluster_0,dejeuner,seul,False,"saucisses, saucissons, andouilles et boudins",jambons et charcuteries en pièces,0.808667053588702
64,cluster_0,dejeuner,seul,False,"saucisses, saucissons, andouilles et boudins",oeufs et dérivés,0.9985490423679628
65,cluster_0,dejeuner,seul,False,"saucisses, saucissons, andouilles et boudins",poissons de mer,0.9892629135229252
66,cluster_0,dejeuner,seul,False,"saucisses, saucissons, andouilles et boudins",volailles et lapins,0.981717933836332
67,cluster_0,dejeuner,seul,False,vin,eau de source,0.9901492633684376
68,cluster_0,dejeuner,seul,False,vin,eau du robinet,0.5791645663550501
69,cluster_0,dejeuner,seul,False,vin,eau minérale plate,0.9944289463662959
70,cluster_0,dejeuner,seul,False,volailles et lapins,buf en pièces ou haché,0.8281098858579996
71,cluster_0,dejeuner,seul,False,volailles et lapins,jambons et charcuteries en pièces,0.82694911975237
72,cluster_0,dejeuner,seul,False,volailles et lapins,oeufs et dérivés,1.0168311085316308
73,cluster_0,dejeuner,seul,False,volailles et lapins,poissons de mer,1.0075449796865932
74,cluster_0,dejeuner,seul,False,volailles et lapins,"saucisses, saucissons, andouilles et boudins",1.018282066163668
75,cluster_0,dejeuner,seul,False,yaourts et assimilés,fromages affinés,0.6362066540522009
0,cluster_1,dejeuner,seul,False,beurre,huile,0.7183941532752606
1,cluster_1,dejeuner,seul,False,beurre,margarine,0.7057107054274075
2,cluster_1,dejeuner,seul,False,buf en pièces ou haché,jambons et charcuteries en pièces,0.8033308278631763
3,cluster_1,dejeuner,seul,False,buf en pièces ou haché,oeufs et dérivés,0.7504426814406908
4,cluster_1,dejeuner,seul,False,buf en pièces ou haché,poissons de mer,0.8676367839980166
5,cluster_1,dejeuner,seul,False,buf en pièces ou haché,porc,0.6581686661961892
6,cluster_1,dejeuner,seul,False,buf en pièces ou haché,"saucisses, saucissons, andouilles et boudins",0.6556986591390261
7,cluster_1,dejeuner,seul,False,buf en pièces ou haché,volailles et lapins,0.970213846035398
8,cluster_1,dejeuner,seul,False,compotes,crème dessert et lait gélifié,0.9964714184897672
9,cluster_1,dejeuner,seul,False,compotes,fruits,0.3669195483415667
10,cluster_1,dejeuner,seul,False,condiments d'accompagnement,condiments d'assaisonnement,0.6460244648318043
